wingmasnum,wingmasdate,venuename,streetaddress,city,state,zip
0.5,2016/10/29,Wingman,3201 Mountain Rd # 108,Pasadena,MD,21122
1,2016/12/03,Mt. Washington Tavern, 5700 Newbury St.,Baltimore,MD,21209
1,2016/12/03,iBar,2118 Maryland Ave,Baltimore,MD,21218
1,2016/12/03,Kislings Tavern,2100 Fleet St,Baltimore,MD,21231
1,2016/12/03,Delia Foley's,1439 S Charles St,Baltimore,MD,21230
?,2018/12/15,Hamilton Tavern,5506 Harford Rd,Baltimore,MD,21214
?,2018/12/15,iBar,2118 Maryland Ave,Baltimore,MD,21218
?,2018/12/15,Joe Squared,33 W North Ave,Baltimore,MD,21201
?,2018/12/15,The Dizz,300 W 30th St,Baltimore,MD,21211
?,2019/12/27,The Queen's Truckstaurant,3515 Clipper Mill Rd,Baltimore,MD,21211
?,2019/12/27,R. House,301 W 29th St,Baltimore,MD,21211
?,2019/12/27,The Local Fry,711 W 40th St Suite 152,Baltimore,MD,21211
?,2019/12/27,Chef BobbyD Restaurant Baltimore,4032 Falls Rd,Baltimore,MD,21211
?,2019/12/27,Frazier's On the Avenue,919 W 36th St,Baltimore,MD,21211
?,2019/12/27,Rocket to Venus,3360 Chestnut Ave,Baltimore,MD,21211
?,2019/12/27,Nepenthe Brewing Co.,3626 Falls Rd,Baltimore,MD,21211
?,2021/07/31,The CIVIL,518 N Charles St,Baltimore,MD,21201
?,2021/07/31,Cheezy Mike's Food Emporium,520 Park Ave,Baltimore,MD,21201
?,2021/07/31,Dooby's,802 N Charles St,Baltimore,MD,21201
?,2021/07/31,Turp's Sports Bar & Restaurant,1317 N Charles St,Baltimore,MD,21201
?,2021/07/31,The Brass Tap,1205 W Mt Royal Ave,Baltimore,MD,21217
?,2021/07/31,The Owl Bar,1 E Chase St,Baltimore,MD,21202
?,2021/07/31,Wet City,223 W Chase St,Baltimore,MD, 21201
?,2021/07/31,Topside,101 W Monument St,Baltimore,MD,21201
?,2021/11/21,West End Grill,2049 West St,Annapolis,MD ,21401
?,2023/04/21,Alexander's Tavern,710 S Broadway,Baltimore,MD,21231
?,2023/04/21,Twist Fells Point,723 S Broadway,Baltimore,MD,21231
?,2023/04/21,Slainte Irish Pub and Restaurant,1700 Thames St,Baltimore,MD,21231
?,2023/04/21,Todd Conor's,700 S Broadway,Baltimore,MD,21231
?,2023/04/21,The Choptank,1641 Aliceanna St,Baltimore,MD,21231
?,2023/04/21,Max's Taphouse,733 S Broadway,Baltimore,MD,21231
?,2023/12/28,O'loughlin's Restaurant,1258 Bay Dale Dr,Arnold,MD,21012
?,2023/12/28,Dock Street Bar & Grill,136 Dock St,Annapolis,MD,21401
?,2023/12/28,McGarvey's,8 Market Space,Annapolis,MD,21401
?,2023/12/28,Davis' Pub,400 Chester Ave,Annapolis,MD,21403
?,2023/12/28,DRY 85,193 B Main St,Annapolis,MD,21401
?,2023/12/28,Rams Head Tavern,33 West St,Annapolis,MD,21401
?,2023/12/28,Pusser's Caribbean Grille,80 Compromise St,Annapolis,MD,21401
?,2023/12/28,Boatyard Bar & Grill,400 Fourth St,Annapolis,MD,21403
?,2023/12/28,Forward Brewing,418 Fourth St,Annapolis,MD,21403
?,2023/12/28,Armadillos Restaurant,132 Dock St,Annapolis,MD,21401
?,2023/12/28,Acme Bar & Grill,163 Main St,Annapolis,MD,21401
